comments,candidate,cleaned_comments
They are talking about,Bawumia,talking
The credit score system is not the major policy of,Bawumia,credit score system major policy
"A man from work said ""if the NDC should win the election he will resign from work"" because the",Bawumia,man work said ndc win election resign work
Masa you are being bias. If JD is to 24 hour then,Bawumia,masa bias jd hour
You can not extricate,Bawumia,extricate
The incompetent,Bawumia,incompetent
"24hr economy is the game changer.
 
 No size.
 
 Joynews talk about",Bawumia,hr economy game changer size joynews talk
Ever since,Bawumia,ever since
has been doling out juicy contracts to his cronies and robbing us under his,Bawumia,doling juicy contract crony robbing u
The solution for every problem is,Bawumia,solution every problem
"Nana Addo's government is not the worse in this country.
 Mahama's term is the worst and that's why 1M people voted against him.
 From sports to health to roads ro railways to agriculture to tourism to education to",Bawumia,nana addo government worse country mahama term worst people voted sport health road ro railway agriculture tourism education
At least if not for anything I can confidently admit,Bawumia,least anything confidently admit
It's like you people forget Addo D brought in,Bawumia,like people forget addo brought
"Massa, the NCA and government are one and the same people. The government and",Bawumia,massa nca government one people government
"""Eb3y3 pisoo wo"" the Northern regions of Ghana in the forthcoming presidential and parliamentary elections per Koku's analysis. VP",Bawumia,eb pisoo wo northern region ghana forthcoming presidential parliamentary election per koku analysis vp
That's a simple msg. to all our leaders we need better utility services in this country both,Bawumia,simple msg leader need better utility service country
And your father was his vice? If,Bawumia,father vice
"Eat and drink freeSHS,",Bawumia,eat drink freeshs
"at Pro Max
 Oh, sad. This was written just to have something there, without any real thought or evaluation. I'm 100% sure the",Bawumia,pro max oh sad written something without real thought evaluation sure
ein ideas some this ooo. When that mate talks about,Bawumia,ein idea ooo mate talk
Another foolish,Bawumia,another foolish
They will list this as a,Bawumia,list
WHEN THE PEOPLE ARE HUNGRY YOU DO NOT SPEAK ABOUT,Bawumia,people hungry speak
"Dennis, if these are policies",Bawumia,dennis policy
Economics textbooks no fit help,Bawumia,economics textbook fit help
"These are the lies you squad always spread 
 Ghana card was started by Kufour, in 2016 they registered about a million people on that Ghana card before",Bawumia,lie squad always spread ghana card started kufour registered million people ghana card
You look at the achievements of,Bawumia,look achievement
Let's simply ask,Bawumia,let simply ask
Kwadwo Sheldon wouldn't have own a camera if not for political funding by Kwadwo Oppong Nkrumah and the,Bawumia,kwadwo sheldon camera political funding kwadwo oppong nkrumah
I no be fan of,Bawumia,fan
Early this week I see Sheldon en tweets about,Bawumia,early week see sheldon en tweet
Can you name at least 5,Bawumia,name least
True leadership is visible in the way Dr.,Bawumia,true leadership visible way dr
Evaluating,Bawumia,evaluating
"This is Mahama in 2014, check whether there is anything new in your so called",Bawumia,mahama check whether anything new called
"True,",Bawumia,true
", initially presented as an economist to tackle Ghana's economic issues and cedi depreciation, shifted to",Bawumia,initially presented economist tackle ghana economic issue cedi depreciation shifted
GHANA'S NEXT CHAPTER,Bawumia,ghana next chapter
Ghana's,Bawumia,ghana
"This is my son,",Bawumia,son
Now because of Dr,Bawumia,dr
The leadership of Vice President,Bawumia,leadership vice president
"Cashless system, credit score system is an evil system.",Bawumia,cashless system credit score system evil system
You seems not to know right? That is why,Bawumia,seems know right
"The question is""what are the specific things",Bawumia,question specific thing
If USA is the best economy in the world then let's end it there. Now compare the economy of America to that of Ghana. I thought,Bawumia,usa best economy world let end compare economy america ghana thought
"has a proven impact on reducing unemployment, quality of life, and boosting citizen's access to public services.",Bawumia,proven impact reducing unemployment quality life boosting citizen access public service
If you've read any of,Bawumia,read
This is total sense. The issue was about,Bawumia,total sense issue
"My exact sentiments. Ghana is a third-world country lacking basic infrastructure like roads, schools, and hospitals. The existing ones are in deplorable states.",Bawumia,exact sentiment ghana third world country lacking basic infrastructure like road school hospital existing one deplorable state
"The fundamental thing is ""data"".",Bawumia,fundamental thing data
Thought you said,Bawumia,thought said
The foolish,Bawumia,foolish
"So today Sheldon is telling us to blame our economy on Russia Ukraine. The question I want to ask is how did the Russia/ Ukraine affected our eci economy at least give me three ways war affected us economically.
 Secondly was",Bawumia,today sheldon telling u blame economy russia ukraine question want ask russia ukraine affected eci economy least give three way war affected u economically secondly
They keep saying Dr.,Bawumia,keep saying dr
The beginning of Dr.,Bawumia,beginning dr
What has he done about,Bawumia,done
Ah! wey chatting this. man smoke herbs today or what. Chale the Ghana card has started before they came to power oooo. The biggest IT center was built by Mahama at circle. What infrastructure has,Bawumia,ah wey chatting man smoke herb today chale ghana card started came power oooo biggest center built mahama circle infrastructure
's major campaign policy when he was in opposition was about the economy. How to stabilize the cedi. I don't remember hearing him mention,Bawumia,major campaign policy opposition economy stabilize cedi remember hearing mention
in Ghana is not just a policy but a revolution under Dr.,Bawumia,ghana policy revolution dr
is taking us for fools with his bulshit promises. Is,Bawumia,taking u fool bulshit promise
When the communicators of,Bawumia,communicator
"has since not spoken about the economy after taking the ""funs"" belonging to the minister of",Bawumia,since spoken economy taking fun belonging minister
Now dem see sey,Bawumia,dem see sey
"Do you know that today you can buy ECG prepaid on credit and pay it nketsenketse at your convenience? Yes, that's true.
 
 It is made possible courtesy",Bawumia,know today buy ecg prepaid credit pay nketsenketse convenience yes true made possible courtesy
The push for,Bawumia,push
"Turn yet, I guess they will miraculously give us 1F in 5 months who knows.",Bawumia,turn yet guess miraculously give u month know
"FellowGhanaians, let's embrace Dr",Bawumia,fellowghanaians let embrace dr
